Kegg Name,DeltaG of Formation (kJ/mol)
C00001,-161.8
C00002,-2328.1
C00003,979.4
C00004,1037.9
C00005,161.1
C00006,101.7
C00007,16.4
C00008,-1461.1
C00009,-1063.5
C00010,1148.2
C00011,-386.0
C00013,-1942.5
C00014,70.9
C00015,-2043.6
C00016,1166.1
C00020,-591.8
C00022,-359.8
C00024,-1952.7
C00026,-645.1
C00027,-58.6
C00028,1.01e11
C00030,1.01e11
C00031,-463.6
C00033,-256.9
C00035,1.01e11
C00036,-720.3
C00037,-191.4
C00040,1.01e11
C00042,-542.2
C00044,1.01e11
C00060,1.01e11
C00063,-2660.6
C00067,-48.7
C00068,1.01e11
C00069,1.01e11
C00071,1.01e11
C00074,-1195.1
C00075,-2917.3
C00080,0.0
C00081,-2622.7
C00084,11.8
C00085,-1349.1
C00091,794.4
C00092,-1352.4
C00095,-463.2
C00099,-109.6
C00100,1168.1
C00101,1.01e11
C00103,-1345.5
C00104,-1713.7
C00109,-282.4
C00111,-1110.4
C00112,-1788.3
C00114,1.01e11
C00116,-192.1
C00117,-1260.1
C00118,-1102.7
C00119,-2999.0
C00121,-361.8
C00122,-525.3
C00124,-456.6
C00125,-5.5
C00126,-27.0
C00131,-2161.8
C00132,-24.5
C00138,38.1
C00139,-0.6
C00143,1.01e11
C00149,-694.4
C00158,-980.3
C00159,-461.2
C00161,1.01e11
C00162,1.01e11
C00163,-175.0
C00186,-328.9
C00191,-754.5
C00197,-1360.3
C00198,-526.6
C00199,-1259.7
C00201,1.01e11
C00204,-583.6
C00206,-1293.0
C00221,-464.0
C00226,1.01e11
C00227,-1114.6
C00231,-1262.7
C00236,-2219.9
C00248,473.6
C00257,-714.3
C00258,-473.2
C00267,-464.0
C00275,-1348.4
C00279,-1179.9
C00286,1.01e11
C00288,-550.6
C00311,-973.5
C00322,-1991.6
C00329,-240.8
C00334,-33.0
C00345,-1594.1
C00352,-1119.7
C00354,-2234.7
C00361,1.01e11
C00376,1310.7
C00390,610.3
C00399,636.6
C00404,1.01e11
C00417,-808.7
C00433,-387.3
C00447,-2301.1
C00454,1.01e11
C00469,44.5
C00473,1357.8
C00479,93.3
C00490,-442.4
C00527,-2153.3
C00530,-61.9
C00531,-2148.3
C00555,233.6
C00576,1.01e11
C00577,-213.9
C00579,526.8
C00601,310.6
C00615,1.01e11
C00620,-1252.0
C00631,-1354.6
C00637,440.9
C00642,-148.5
C00668,-1350.9
C00672,-1084.9
C00673,-1112.3
C00679,-880.6
C00738,1.01e11
C00756,539.4
C00770,-709.5
C00794,-417.8
C00800,-709.5
C00804,1.01e11
C00818,-1002.0
C00954,185.0
C00957,-343.3
C00969,-880.6
C00984,-2316.2
C01040,-527.8
C01062,-747.3
C01094,-1349.2
C01096,-1305.8
C01097,-1344.5
C01149,1.01e11
C01151,-2141.5
C01159,-2246.8
C01161,-351.7
C01171,-1337.6
C01172,-1350.9
C01181,1.01e11
C01216,-588.1
C01218,-1631.8
C01236,-1410.0
C01286,-1471.5
C01352,1202.6
C01450,1.01e11
C01545,506.0
C01612,1.01e11
C01801,-210.7
C01880,145.9
C02051,1.01e11
C02170,-527.6
C02323,60.4
C02336,-464.1
C02457,-28.5
C02576,531.6
C02669,-533.3
C02670,-563.1
C02780,-780.1
C02835,7.7
C02909,429.0
C02946,-106.4
C02962,-1345.1
C02965,-1345.1
C02972,1.01e11
C03356,-1435.0
C03461,1092.3
C03735,1.01e11
C03752,-488.5
C03765,107.4
C03785,-2230.6
C03921,-880.6
C04043,-95.8
C04261,1.01e11
C04262,1.01e11
C04309,-1275.6
C04442,-1473.9
C04534,-1632.3
C04554,1.01e11
C04575,-785.1
C05125,1.01e11
C05130,263.2
C05167,1.01e11
C05345,-1348.4
C05378,-2230.6
C05379,-990.6
C05381,1.01e11
C05382,-1423.7
C05422,1.01e11
C05444,1.01e11
C05445,1.01e11
C05528,1.01e11
C05533,-927.8
C05576,-219.7
C05577,-255.0
C05580,-510.9
C05581,-15.4
C05582,-271.3
C05583,1.01e11
C05584,-430.5
C05634,237.7
C05635,-18.2
C05662,-891.7
C05665,150.9
C05823,-305.5
C05827,396.5
C05828,140.7
C05936,148.7
C05979,125.7
C05983,1.01e11
C05984,-243.1
C05985,1.01e11
C05986,1.01e11
C05993,1.01e11
C06002,-270.0
C06019,-1334.5
C06102,-108.0
C06103,-72.7
C06157,1.01e11
C06187,-1283.1
C06188,-1160.8
C06473,-754.4
C06611,77.8
C06612,77.8
C06613,42.4
C06614,-213.5
C06615,-213.5
C06753,-19.4
C06754,-54.7
C06755,-310.7
C06899,1.01e11
C07086,56.3
C07490,-85.0
C07645,1.01e11
C07646,1.01e11
C08492,379.0
C11150,-376.2
C11537,1.01e11
C11823,1.01e11
C11924,275.6
C12214,-1119.9
C12215,1.01e11
C13378,1.01e11
C14089,429.0
C14090,393.7
C14099,393.7
C15602,1.01e11
C15603,1.01e11
C15673,-752.4
C15972,1.01e11
C15973,1.01e11
C16237,1.01e11
C16254,1.01e11
C16255,1.01e11
C16310,346.7
C16348,42.4
C16396,1.01e11
C16399,1.01e11
C16502,836.3
C16551,1.01e11
C16586,1.01e11
C16587,1.01e11
C16591,1.01e11
C16595,1.01e11
C16596,1.01e11
C16832,1.01e11
C18096,-1344.5
C18233,1.01e11
C18234,1.01e11
C20589,1.01e11
C20616,1.01e11
C20655,1.01e11
C20844,1.01e11
C20845,1.01e111
