Kegg Name	DeltaG of formation (KJ/mol)
C01159	101010101010
C00615	101010101010
C00197	-1360.3
C04262	101010101010
C06188	101010101010
C00001	-161.8
C02323	101010101010
C01172	101010101010
C01236	-1410
C00345	101010101010
C06019	101010101010
C00085	-1349.1
C00221	101010101010
C00006	101.7
C00198	-526.6
C00005	161.1
C00080	0
C05345	101010101010
C20655	101010101010
C20616	101010101010
C00404	101010101010
C00267	101010101010
C00668	101010101010
C01286	101010101010
C00022	-359.8
C00118	-1102.7
C00084	11.8
C00003	979.4
C00033	-256.9
C00004	1037.9
C00555	101010101010
C00334	101010101010
C05130	101010101010
C02835	101010101010
C00138	38.1
C00091	794.4
C00011	-386
C00139	-0.6
C00026	-645.1
C00010	1148.2
C00069	101010101010
C00071	101010101010
C00002	-2328.1
C00042	-542.2
C00008	-1461.1
C00009	-1063.5
C00068	101010101010
C05125	101010101010
C01151	101010101010
C00119	-2999
C16586	101010101010
C16587	101010101010
C00020	-591.8
C00354	-2234.7
C00149	-694.4
C00036	-720.3
C00031	-463.6
C00092	-1352.4
C00631	-1354.6
C00075	101010101010
C00015	101010101010
C02972	101010101010
C02051	101010101010
C05984	-243.1
C00109	101010101010
C00111	-1110.4
C00124	-456.6
C02669	101010101010
C00311	-973.5
C05379	-990.6
C00199	-1259.7
C00490	101010101010
C00531	101010101010
C00231	101010101010
C00236	-2219.9
C00257	-714.3
C00579	101010101010
C00248	101010101010
C01094	101010101010
C00577	-213.9
C00117	-1260.1
C00204	101010101010
C07645	101010101010
C07646	101010101010
C05583	101010101010
C05584	101010101010
C00673	-1112.3
C04261	101010101010
C01218	101010101010
C00081	101010101010
C00104	-1713.7
C16832	101010101010
C16237	101010101010
C00114	101010101010
C00576	101010101010
C05581	101010101010
C05582	101010101010
C05422	101010101010
C04575	101010101010
C06187	101010101010
C00530	101010101010
C00322	101010101010
C15972	101010101010
C06157	101010101010
C15602	101010101010
C15603	101010101010
C01801	101010101010
C03356	101010101010
C04309	101010101010
C05444	101010101010
C05445	101010101010
C00044	101010101010
C00035	101010101010
C06754	101010101010
C06755	101010101010
C00060	101010101010
C00016	1166.1
C06473	101010101010
C01352	1202.6
C00469	44.5
C00125	-5.5
C00126	-27
C00121	-361.8
C16255	101010101010
C03765	101010101010
C00642	101010101010
C00226	101010101010
C01149	101010101010
C01181	101010101010
C00329	101010101010
C00352	101010101010
C00074	-1195.1
C01040	101010101010
C00800	101010101010
C05827	101010101010
C05828	101010101010
C00818	101010101010
C03921	101010101010
C16348	101010101010
C06615	101010101010
C00620	-1252
C20589	101010101010
C04442	101010101010
C00014	70.9
C16595	101010101010
C16596	101010101010
C00433	101010101010
C00100	1168.1
C13378	101010101010
C00601	101010101010
C07086	101010101010
C05662	101010101010
C00131	101010101010
C00738	101010101010
C00206	101010101010
C02965	101010101010
C01062	101010101010
C02780	101010101010
C00447	101010101010
C00279	101010101010
C00288	-550.6
C00103	-1345.5
C03461	101010101010
C16502	101010101010
C00024	1083.3
C00159	-457.7
C00275	-1348.4
C04043	101010101010
C01161	101010101010
C00527	101010101010
C15973	101010101010
C05381	101010101010
C11537	101010101010
C05528	101010101010
C00162	101010101010
C00013	-1942.5
C05993	101010101010
C06611	101010101010
C06613	101010101010
C05823	101010101010
C00957	101010101010
C20844	101010101010
C20845	101010101010
C00037	-191.4
C00101	101010101010
C00143	101010101010
C16254	101010101010
C00095	-463.2
C04554	101010101010
C01612	101010101010
C01450	101010101010
C18233	101010101010
C18234	101010101010
C00258	-473.2
C12214	101010101010
C12215	101010101010
C05382	101010101010
C00984	101010101010
C00672	101010101010
C02336	101010101010
C01216	101010101010
C00063	101010101010
C00112	101010101010
C16551	101010101010
C06899	101010101010
C07490	101010101010
C00201	101010101010
C00454	101010101010
C00756	101010101010
C01545	101010101010
C01097	101010101010
C03785	101010101010
C00186	-328.9
C05167	101010101010
C11823	101010101010
C00794	-418.6
C01096	-1306.2
C16591	101010101010
C00028	101010101010
C00030	101010101010
C05576	101010101010
C05577	101010101010
C05378	101010101010
C00158	-980.1
C05533	101010101010
C00163	101010101010
C05983	101010101010
C00067	-46.1
C02670	101010101010
C05986	101010101010
C05985	101010101010
C06753	101010101010
C01171	101010101010
C03735	101010101010
G10518	101010101010
C06002	101010101010
C02170	101010101010
C02962	101010101010
C18096	101010101010
C00122	-528.9
C11150	101010101010
C16396	101010101010
C16399	101010101010
C03752	101010101010
C00227	-1118.1
C14089	101010101010
C14090	101010101010
C05634	101010101010
C05635	101010101010
C16310	101010101010
C08492	101010101010
C00191	101010101010
C00399	3392.5
C00390	3377.9
C00286	101010101010
C00361	101010101010
C06612	101010101010
C00007	16.4
C00027	-58.6
C00417	-809.6
C06614	101010101010
C05936	101010101010
C02946	101010101010
C05580	101010101010
C05665	101010101010
C00099	101010101010
C00770	101010101010
C15673	101010101010
C06103	101010101010
C06102	101010101010
C00679	101010101010
C00132	-24.5
C00161	101010101010
C00040	101010101010
C00473	1102.9
C00376	1055.4
C00116	-195.9
C02909	101010101010
C14099	101010101010
C01880	101010101010
C00637	101010101010
C00954	101010101010
C02576	101010101010
C11924	101010101010
C04534	101010101010
C00804	101010101010
