Kegg Name,DeltaG of Formation (kJ/mol)
C01159,-2246.8
C00615,101000000000
C00197,-1360.3
C04262,101000000000
C06188,-1160.8
C00001,-161.8
C02323,60.4
C01172,-1350.9
C01236,-1410
C00345,-1594.1
C06019,-1334.5
C00085,-1349.1
C00221,-464
C00006,101.7
C00198,-526.6
C00005,161.1
C00080,0
C05345,-1348.4
C20655,101000000000
C20616,101000000000
C00404,101000000000
C00267,-464
C00668,-1350.9
C01286,-1471.5
C00022,-359.8
C00118,-1102.7
C00084,11.8
C00003,979.4
C00033,-256.9
C00004,1037.9
C00555,233.6
C00334,-33
C05130,263.2
C02835,7.7
C00138,38.1
C00091,794.4
C00011,-386
C00139,-0.6
C00026,-645.1
C00010,1148.2
C00069,101000000000
C00071,101000000000
C00002,-2328.1
C00042,-542.2
C00008,-1461.1
C00009,-1063.5
C00068,101000000000
C05125,101000000000
C01151,-2141.5
C00119,-2999
C16586,101000000000
C16587,101000000000
C00020,-591.8
C00354,-2234.7
C00149,-694.4
C00036,-720.3
C00031,-463.6
C00092,-1352.4
C00631,-1354.6
C00075,-2917.3
C00015,-2043.6
C02972,101000000000
C02051,101000000000
C05984,-243.1
C00109,-282.4
C00111,-1110.4
C00124,-456.6
C02669,-533.3
C00311,-973.5
C05379,-990.6
C00199,-1259.7
C00490,-442.4
C00531,-2148.3
C00231,-1262.7
C00236,-2219.9
C00257,-714.3
C00579,526.8
C00248,473.6
C01094,-1349.2
C00577,-213.9
C00117,-1260.1
C00204,-583.6
C07645,101000000000
C07646,101000000000
C05583,101000000000
C05584,-430.5
C00673,-1112.3
C04261,101000000000
C01218,-1631.8
C00081,-2622.7
C00104,-1713.7
C16832,101000000000
C16237,101000000000
C00114,101000000000
C00576,101000000000
C05581,-15.4
C05582,-271.3
C05422,101000000000
C04575,-785.1
C06187,-1283.1
C00530,-61.9
C00322,-1991.6
C15972,101000000000
C06157,101000000000
C15602,101000000000
C15603,101000000000
C01801,-210.7
C03356,-1435
C04309,-1275.6
C05444,101000000000
C05445,101000000000
C00044,101000000000
C00035,101000000000
C06754,-54.7
C06755,-310.7
C00060,101000000000
C00016,1166.1
C06473,-754.4
C01352,1202.6
C00469,44.5
C00125,-5.5
C00126,-27
C00121,-361.8
C16255,101000000000
C03765,107.4
C00642,-148.5
C00226,101000000000
C01149,101000000000
C01181,101000000000
C00329,-240.8
C00352,-1119.7
C00074,-1195.1
C01040,-527.8
C00800,-709.5
C05827,396.5
C05828,140.7
C00818,-1002
C03921,-880.6
C16348,42.4
C06615,-213.5
C00620,-1252
C20589,101000000000
C04442,-1473.9
C00014,70.9
C16595,101000000000
C16596,101000000000
C00433,-387.3
C00100,1168.1
C13378,101000000000
C00601,310.6
C07086,56.3
C05662,-891.7
C00131,-2161.8
C00738,101000000000
C00206,-1293
C02965,-1345.1
C01062,-747.3
C02780,-780.1
C00447,-2301.1
C00279,-1179.9
C00288,-550.6
C00103,-1345.5
C03461,1092.3
C16502,836.3
C00024,-1952.7
C00159,-461.2
C00275,-1348.4
C04043,-95.8
C01161,-351.7
C00527,-2153.3
C15973,101000000000
C05381,101000000000
C11537,101000000000
C05528,101000000000
C00162,101000000000
C00013,-1942.5
C05993,101000000000
C06611,77.8
C06613,42.4
C05823,-305.5
C00957,-343.3
C20844,101000000000
C20845,101000000000
C00037,-191.4
C00101,101000000000
C00143,101000000000
C16254,101000000000
C00095,-463.2
C04554,101000000000
C01612,101000000000
C01450,101000000000
C18233,101000000000
C18234,101000000000
C00258,-473.2
C12214,-1119.9
C12215,101000000000
C05382,-1423.7
C00984,-2316.2
C00672,-1084.9
C02336,-464.1
C01216,-588.1
C00063,-2660.6
C00112,-1788.3
C16551,101000000000
C06899,101000000000
C07490,-85
C00201,101000000000
C00454,101000000000
C00756,539.4
C01545,506
C01097,-1344.5
C03785,-2230.6
C00186,-328.9
C05167,101000000000
C11823,101000000000
C00794,-417.8
C01096,-1305.8
C16591,101000000000
C00028,101000000000
C00030,101000000000
C05576,-219.7
C05577,-255
C05378,-2230.6
C00158,-980.3
C05533,-927.8
C00163,-175
C05983,101000000000
C00067,-48.7
C02670,-563.1
C05986,101000000000
C05985,101000000000
C06753,-19.4
C01171,-1337.6
C03735,101000000000
G10518,-1632.3
C06002,-270
C02170,-527.6
C02962,-1345.1
C18096,-1344.5
C00122,-525.3
C11150,-376.2
C16396,101000000000
C16399,101000000000
C03752,-488.5
C00227,-1114.6
C14089,429
C14090,393.7
C05634,237.7
C05635,-18.2
C16310,346.7
C08492,379
C00191,-754.5
C00399,636.6
C00390,610.3
C00286,101000000000
C00361,101000000000
C06612,77.8
C00007,16.4
C00027,-58.6
C00417,-808.7
C06614,-213.5
C05936,148.7
C02946,-106.4
C05580,-510.9
C05665,150.9
C00099,-109.6
C00770,-709.5
C15673,-752.4
C06103,-72.7
C06102,-108
C00679,-880.6
C00132,-24.5
C00161,101000000000
C00040,101000000000
C00473,1357.8
C00376,1310.7
C00116,-192.1
C02909,429
C14099,393.7
C01880,145.9
C00637,440.9
C00954,185
C02576,531.6
C11924,275.6
C04534,-1632.3
C00804,101000000000
C02457,-28.5
C00969,-880.6
C00479,93.3
C05979,125.7
