!!SBtab DocumentName=' TableType='Compound' TableName=' Document=' Unit=' SBtabVersion='1.0' Date='2018-10-17' pH='6.5' ionic_strength='0.1' pMg='14.0' 	                                         	                    	    	                    	                 	
!Identifiers:kegg.compound                                                                                                                              	!Name                                    	!dG0_prime (kJ/mol) 	!pH 	!ionic strength (M) 	!temperature (K) 	!Comment
C00001                                                                                                                                                  	C_h2o                                    	-161.8              	6.5 	0.1                 	298.15           	
C00002                                                                                                                                                  	C_atp                                    	-2328.1             	6.5 	0.1                 	298.15           	
C00003                                                                                                                                                  	C_nad                                    	979.4               	6.5 	0.1                 	298.15           	
C00004                                                                                                                                                  	C_nadh                                   	1037.9              	6.5 	0.1                 	298.15           	
C00005                                                                                                                                                  	C_nadph                                  	161.1               	6.5 	0.1                 	298.15           	
C00006                                                                                                                                                  	C_nadp                                   	101.7               	6.5 	0.1                 	298.15           	
C00007                                                                                                                                                  	C_oxygen                                 	16.4                	6.5 	0.1                 	298.15           	
C00008                                                                                                                                                  	C_adp                                    	-1461.1             	6.5 	0.1                 	298.15           	
C00009                                                                                                                                                  	C_orthophosphate                         	-1063.5             	6.5 	0.1                 	298.15           	
C00010                                                                                                                                                  	C_coa                                    	1148.2              	6.5 	0.1                 	298.15           	
C00011                                                                                                                                                  	C_co2                                    	-386                	6.5 	0.1                 	298.15           	
C00013                                                                                                                                                  	C_diphosphate                            	-1942.5             	6.5 	0.1                 	298.15           	
C00014                                                                                                                                                  	C_nh3                                    	70.9                	6.5 	0.1                 	298.15           	
C00016                                                                                                                                                  	C_fad                                    	1166.1              	6.5 	0.1                 	298.15           	
C00020                                                                                                                                                  	C_amp                                    	-591.8              	6.5 	0.1                 	298.15           	
C00022                                                                                                                                                  	C_pyruvate                               	-359.8              	6.5 	0.1                 	298.15           	
C00024                                                                                                                                                  	C_acetyl_coa                             	1083.3              	6.5 	0.1                 	298.15           	
C00025                                                                                                                                                  	C_l_glutamate                            	-396.5              	6.5 	0.1                 	298.15           	
C00026                                                                                                                                                  	C_2_oxoglutarate                         	-645.1              	6.5 	0.1                 	298.15           	
C00027                                                                                                                                                  	C_hydrogen_peroxide                      	-58.6               	6.5 	0.1                 	298.15           	
C00031                                                                                                                                                  	C_d_glucose                              	-463.6              	6.5 	0.1                 	298.15           	
C00033                                                                                                                                                  	C_acetate                                	-256.9              	6.5 	0.1                 	298.15           	
C00036                                                                                                                                                  	C_oxaloacetate                           	-720.3              	6.5 	0.1                 	298.15           	
C00037                                                                                                                                                  	C_glycine                                	-191.4              	6.5 	0.1                 	298.15           	
C00041                                                                                                                                                  	C_l_alanine                              	-107.1              	6.5 	0.1                 	298.15           	
C00042                                                                                                                                                  	C_succinate                              	-542.2              	6.5 	0.1                 	298.15           	
C00048                                                                                                                                                  	C_glyoxylate                             	-431.5              	6.5 	0.1                 	298.15           	
C00049                                                                                                                                                  	C_l_aspartate                            	-470.3              	6.5 	0.1                 	298.15           	
C00051                                                                                                                                                  	C_glutathione                            	589                 	6.5 	0.1                 	298.15           	
C00058                                                                                                                                                  	C_formate                                	-313.9              	6.5 	0.1                 	298.15           	
C00059                                                                                                                                                  	C_sulfate                                	-747                	6.5 	0.1                 	298.15           	
C00061                                                                                                                                                  	C_fmn                                    	713.7               	6.5 	0.1                 	298.15           	
C00064                                                                                                                                                  	C_l_glutamine                            	-151.1              	6.5 	0.1                 	298.15           	
C00065                                                                                                                                                  	C_l_serine                               	-247                	6.5 	0.1                 	298.15           	
C00067                                                                                                                                                  	C_formaldehyde                           	-46.1               	6.5 	0.1                 	298.15           	
C00073                                                                                                                                                  	C_l_methionine                           	-88.3               	6.5 	0.1                 	298.15           	
C00074                                                                                                                                                  	C_phosphoenolpyruvate                    	-1195.1             	6.5 	0.1                 	298.15           	
C00078                                                                                                                                                  	C_l_tryptophan                           	337.6               	6.5 	0.1                 	298.15           	
C00079                                                                                                                                                  	C_l_phenylalanine                        	207.5               	6.5 	0.1                 	298.15           	
C00080                                                                                                                                                  	C_h                                      	0                   	6.5 	0.1                 	298.15           	
C00082                                                                                                                                                  	C_l_tyrosine                             	43.9                	6.5 	0.1                 	298.15           	
C00084                                                                                                                                                  	C_acetaldehyde                           	11.8                	6.5 	0.1                 	298.15           	
C00085                                                                                                                                                  	C_d_fructose_6_phosphoric_acid           	-1349.1             	6.5 	0.1                 	298.15           	
C00086                                                                                                                                                  	C_urea                                   	-52                 	6.5 	0.1                 	298.15           	
C00087                                                                                                                                                  	C_sulfur                                 	0                   	6.5 	0.1                 	298.15           	
C00088                                                                                                                                                  	C_nitrite                                	-32.8               	6.5 	0.1                 	298.15           	
C00089                                                                                                                                                  	C_sucrose                                	-735.4              	6.5 	0.1                 	298.15           	
C00091                                                                                                                                                  	C_succinyl_coa                           	794.4               	6.5 	0.1                 	298.15           	
C00092                                                                                                                                                  	C_glucose_6_phosphate                    	-1352.4             	6.5 	0.1                 	298.15           	
C00093                                                                                                                                                  	C_sn_glycerol_3_phosphate                	-1098.6             	6.5 	0.1                 	298.15           	
C00094                                                                                                                                                  	C_sulfite                                	-491.7              	6.5 	0.1                 	298.15           	
C00095                                                                                                                                                  	C_d_arabino_hexulose                     	-463.2              	6.5 	0.1                 	298.15           	
C00097                                                                                                                                                  	C_l_cysteine                             	-75                 	6.5 	0.1                 	298.15           	
C00100                                                                                                                                                  	C_propanoyl_coa                          	1168.1              	6.5 	0.1                 	298.15           	
C00103                                                                                                                                                  	C_cori_ester                             	-1345.5             	6.5 	0.1                 	298.15           	
C00104                                                                                                                                                  	C_idp                                    	-1713.7             	6.5 	0.1                 	298.15           	
C00111                                                                                                                                                  	C_glycerone_phosphate                    	-1110.4             	6.5 	0.1                 	298.15           	
C00116                                                                                                                                                  	C_glycerol                               	-195.9              	6.5 	0.1                 	298.15           	
C00117                                                                                                                                                  	C_d_ribose_5_phosphate                   	-1260.1             	6.5 	0.1                 	298.15           	
C00118                                                                                                                                                  	C_d_glyceraldehyde_3_phosphate           	-1102.7             	6.5 	0.1                 	298.15           	
C00119                                                                                                                                                  	C_5_phospho_alpha_d_ribose_1_diphosphate 	-2999               	6.5 	0.1                 	298.15           	
C00121                                                                                                                                                  	C_d_ribose                               	-361.8              	6.5 	0.1                 	298.15           	
C00122                                                                                                                                                  	C_fumarate                               	-528.9              	6.5 	0.1                 	298.15           	
C00123                                                                                                                                                  	C_l_leucine                              	137.8               	6.5 	0.1                 	298.15           	
C00124                                                                                                                                                  	C_d_galactose                            	-456.6              	6.5 	0.1                 	298.15           	
C00125                                                                                                                                                  	C_ferricytochrome_c                      	-5.5                	6.5 	0.1                 	298.15           	
C00126                                                                                                                                                  	C_ferrocytochrome_c                      	-27                 	6.5 	0.1                 	298.15           	
C00127                                                                                                                                                  	C_glutathione_disulfide                  	1128.4              	6.5 	0.1                 	298.15           	
C00130                                                                                                                                                  	C_imp                                    	-844.5              	6.5 	0.1                 	298.15           	
C00132                                                                                                                                                  	C_methanol                               	-24.5               	6.5 	0.1                 	298.15           	
C00138                                                                                                                                                  	C_reduced_ferredoxin                     	38.1                	6.5 	0.1                 	298.15           	
C00139                                                                                                                                                  	C_oxidized_ferredoxin                    	-0.6                	6.5 	0.1                 	298.15           	
C00147                                                                                                                                                  	C_adenine                                	499.1               	6.5 	0.1                 	298.15           	
C00149                                                                                                                                                  	C_s_malate                               	-694.4              	6.5 	0.1                 	298.15           	
C00152                                                                                                                                                  	C_l_asparagine                           	-224.4              	6.5 	0.1                 	298.15           	
C00158                                                                                                                                                  	C_citrate                                	-980.1              	6.5 	0.1                 	298.15           	
C00159                                                                                                                                                  	C_d_mannose                              	-457.7              	6.5 	0.1                 	298.15           	
C00160                                                                                                                                                  	C_glycolate                              	-418.5              	6.5 	0.1                 	298.15           	
C00164                                                                                                                                                  	C_acetoacetate                           	-294.6              	6.5 	0.1                 	298.15           	
C00168                                                                                                                                                  	C_hydroxypyruvate                        	-496.1              	6.5 	0.1                 	298.15           	
C00169                                                                                                                                                  	C_carbamoyl_phosphate                    	-1169.1             	6.5 	0.1                 	298.15           	
